pwsid,pwsname,pctblack,pcthisp,percpov,medianincomehouse,perctbachlocal,percthighlocal,retpopsrvd,health,logpop,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,UT,VA,VT,WA,WI,WV,WY,newsystem,groundw,purchasedwater,fy2011,fy2012,fy2013,lhealth
PA4550015,MCCLURE MUNICIPAL AUTHORITY,0.8027523159980774,0,16.399999618530273,39250,8.699999809265137,88.0999984741211,1040,0,6.946976184844971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4550016,MIDDLEBURG MUNICIPAL AUTHORITY,0.9106431603431702,0.9106431603431702,14.199999809265137,36688,10.800000190734863,78.19999694824219,1600,0,7.377758979797363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4550016,MIDDLEBURG MUNICIPAL AUTHORITY,0.5454545617103577,0.6666666865348816,13.600000381469727,38571,10.300000190734863,76.5999984741211,1600,1,7.377758979797363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PA4550016,MIDDLEBURG MUNICIPAL AUTHORITY,2.0663745403289795,0,15.399999618530273,39282,11.300000190734863,81.4000015258789,1600,0,7.377758979797363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PA4550016,MIDDLEBURG MUNICIPAL AUTHORITY,2.5341131687164307,0.0649772584438324,16.799999237060547,39805,10.600000381469727,81.80000305175781,1600,0,7.377758979797363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PA4550022,SHAMOKIN DAM BOROUGH,0,0.5178663730621338,6.300000190734863,42988,19.100000381469727,85.5999984741211,1700,0,7.43838357925415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4550022,SHAMOKIN DAM BOROUGH,0,0.474683552980423,6.400000095367432,48750,21.299999237060547,87.5,1700,0,7.43838357925415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PA4550022,SHAMOKIN DAM BOROUGH,0,0.2364066243171692,6.699999809265137,47500,22.399999618530273,87.69999694824219,1700,0,7.43838357925415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PA4550022,SHAMOKIN DAM BOROUGH,0,0,7.199999809265137,48235,22.299999237060547,88.0999984741211,1700,0,7.43838357925415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PA4560009,SOMERSET CNTY QUEMAHONING SYST,0.5036990642547607,0.7712891697883606,22.200000762939453,30891,22,83.9000015258789,2500,0,7.8240461349487305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA4560009,SOMERSET CNTY QUEMAHONING SYST,1.0131391286849976,1.772993564605713,23.200000762939453,34133,24.5,87.19999694824219,2500,0,7.8240461349487305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
